,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,유땅, ,우안, , ,유땅, ,중비, ,4,1,0,0,0.250,안익훈,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
1,3땅, ,삼진, , ,좌비, , , ,3,0,0,0,0.000,양석환,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
2, , , , , , , , ,중홈,1,1,1,1,1.000,임훈,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
3,삼진, ,유2병, , ,좌안, , ,삼진,4,1,0,0,0.250,박용택,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
4, ,중안, ,4구, ,유땅, , ,삼진,3,1,0,1,0.333,가르시아,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
5, ,중안, ,중비, , ,삼진, ,우비,4,1,0,0,0.250,김현수,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
6, ,좌희비, ,2직, , ,2비, , ,2,0,1,0,0.000,채은성,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
7, ,삼진, , ,투유안, ,삼진, , ,3,1,0,0,0.333,강승호,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
8, ,3땅, , ,중비, , ,삼진, ,3,0,0,0,0.000,유강남,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
9, , ,좌안, ,삼진, , ,포파, ,3,1,0,0,0.333,오지환,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,LG,NC,,,
0,투땅, ,4구, ,2땅, ,삼진, , ,3,0,0,1,0.000,박민우,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,NC,LG,,,
1,4구, ,좌안, ,중2, ,우안, , ,3,3,0,1,1.000,노진혁,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,NC,LG,,,
2,삼진, ,3땅, ,유땅, ,1땅, , ,4,0,1,0,0.000,나성범,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,NC,LG,,,
3,좌안, ,중희비, , ,4구, ,좌중홈, ,2,2,2,1,1.000,스크럭스,구장 : 마산,"관중 : 11,000",2018.03.24(토),개시 : 14:01,경기시간 : 2:47,NC,LG,,,
