,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,유안, ,삼진, ,2땅, ,삼진, ,좌비,5,1,0,0,0.263,강동우,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
1,좌비, ,2땅, , ,우안, , , ,3,1,0,1,0.266,한상훈,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
2, , , , , , ,삼진, ,사구,1,0,0,0,0.158,김회성,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
3,중안, ,1땅, , ,삼진, ,4구,삼진,4,1,0,0,0.280,장성호,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
4,삼진, , ,유땅, ,좌안, ,삼진, ,4,1,0,1,0.273,최진행,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
5,삼진, , ,유비, ,우안, , , ,3,1,1,0,0.263,가르시아,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
6, , , , , , , ,유2병, ,1,0,0,0,0.250,이양기,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
7, ,4구, ,삼진, ,좌2, , ,3비,3,1,1,0,0.267,정원석,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
8, ,1파, , ,좌중안,3땅, , ,4구,3,1,0,1,0.257,이여상,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
9, ,2땅, , ,포파, , , , ,2,0,0,0,0.147,전현태,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
10, , , , , ,삼진, , , ,1,0,0,0,0.206,고동진,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
11, , , , , , , , ,좌안,1,1,1,1,0.253,이대수,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
12, , , , , , , , , ,0,0,0,0,0.213,신경현,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
13, ,2비, , ,포파, ,유땅, ,중안,4,1,1,0,0.206,박노민,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,한화,KIA,,,
0,우중안,4구, , ,4구,좌안,좌안, , ,3,3,0,2,0.388,이용규,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
1,1희번,포파, , ,1희번,투땅,유땅, , ,3,0,0,0,0.299,김선빈,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
2,4구, ,좌안, ,좌비,중비, , , ,3,1,0,1,0.321,이범호,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
3, , , , , , , ,중비, ,1,0,0,0,0.246,박기남,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
4,우안, ,중비, ,좌2, ,4구, , ,3,2,2,2,0.235,김상현,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
5, , , , , , , ,4구, ,0,0,0,1,0.256,이종범,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
6,좌안, ,삼진, ,좌안, ,좌안, , ,4,3,2,1,0.413,나지완,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
7, , , , , , , ,유땅, ,1,0,0,1,0.310,최훈락,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
8,4구, ,3땅, ,3땅, ,좌홈, , ,3,1,3,1,0.256,차일목,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
9, , , , , , , ,우안, ,1,1,0,1,0.216,김상훈,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
10,우안, , ,우비, ,우2,3파,좌안, ,5,3,2,1,0.232,신종길,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
11,유2병, , ,좌비, ,투희번,포파,좌안, ,4,1,1,0,0.198,김주형,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
12, ,3안, ,2비, ,좌홈,좌안, , ,4,3,2,1,0.299,안치홍,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
13, , , , , , , ,삼진, ,1,0,0,0,0.243,이현곤,구장 : 무등,"관중 : 9,316",2011.07.01(금),개시 : 18:30,경기시간 : 3:21,KIA,한화,,,
0,포파, ,우비, ,유비, , , , ,3,0,0,0,0.242,김강민,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
1, , , , , , ,유땅, ,4구,1,0,0,1,0.236,조동화,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
2,삼진, ,4구, ,좌비, ,2땅, ,좌2,4,1,3,0,0.261,박재상,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
3,2비, ,3직, , ,좌비, , , ,3,0,0,0,0.306,정근우,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
4, , , , , , , ,2비,유땅,2,0,0,0,0.286,최윤석,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
5, ,중안, ,좌홈, ,삼진, ,3땅, ,4,2,1,1,0.326,최정,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
6, ,우비, ,유실, ,좌안, ,삼진, ,4,1,0,0,0.280,박정권,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
7, ,중비, ,2병, ,우비, , ,좌안,4,1,0,1,0.242,이호준,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
8, ,중비, ,삼진, , ,우안, ,우안,4,2,0,2,0.315,박진만,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
9, , ,중안, ,우중2, , , , ,2,2,0,0,0.151,박재홍,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
10, , , , , , ,2땅, ,중비,2,0,0,0,0.280,임훈,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
11, , ,투희번, ,삼진, , , , ,1,0,0,0,0.500,김정훈,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
12, , , , , , ,좌안, , ,1,1,1,0,0.333,안정광,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
13, , , , , , , , ,삼진,1,0,0,0,0.111,최경철,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,SK,넥센,,,
0,삼진, ,우비, ,투희번,삼진, , , ,3,0,0,0,0.269,김민우,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
1,삼진, ,좌안, ,우안, ,유땅, , ,4,2,1,1,0.190,장민석,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
2,유땅, , ,중안,좌2, ,삼진, , ,4,2,1,2,0.297,유한준,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
3, ,우홈, ,삼진,4구, ,4구, , ,2,1,1,1,0.254,알드리지,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
4, ,삼진, ,4구,2땅, , , , ,2,0,1,1,0.318,조중근,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
5, , , , , , ,좌비, , ,1,0,0,0,0.214,오재일,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
6, ,좌파, ,좌2,4구, , ,중안, ,3,2,1,0,0.275,강정호,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
7, ,삼진, ,중희비,삼진, , ,우비, ,3,0,1,0,0.246,송지만,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
8, , ,중안,삼진, ,우비, , , ,3,1,0,0,0.280,허도환,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
9, , , , , , , ,삼진, ,1,0,0,0,0.207,강병식,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
10, , , , , , , , , ,0,0,0,0,0.000,유선정,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
11, , ,투땅, ,우안,3땅, , , ,3,1,0,1,0.230,김민성,구장 : 목동,"관중 : 2,125",2011.07.01(금),개시 : 18:30,경기시간 : 3:14,넥센,SK,,,
0,4구,1안,중안, , ,유땅, ,2땅, ,4,2,1,1,0.301,이종욱,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
1,우비,중비, ,투땅, ,삼진, , ,1땅,5,0,0,0,0.257,오재원,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
2,우2,우안, ,유비, , ,유땅, ,중안,5,3,1,2,0.311,김현수,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
3,좌안,4구, ,삼진, , ,좌안, ,삼진,4,2,1,1,0.299,김동주,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
4,좌안,삼진, , ,우비, ,2땅, ,중2,5,2,1,0,0.295,최준석,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
5,4구, ,투안, ,삼진, , , , ,2,1,0,1,0.260,이성열,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
6, , , , , , ,우안, ,투땅,2,1,0,0,0.264,정수빈,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
7,중희비, ,4구, ,삼진, ,우비, , ,2,0,1,0,0.321,양의지,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
8,3땅, ,1희번, , ,유실, ,유땅, ,3,0,0,0,0.165,이원석,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
9, ,3땅,우안, , ,투희번, ,3땅, ,3,1,1,1,0.179,고영민,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,두산,LG,,,
0,유땅, ,중비, , ,1땅, ,삼진, ,4,0,0,0,0.292,박용택,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
1,삼진, ,삼진, , ,1번, , , ,3,0,0,0,0.219,양영동,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
2, , , , , , , , ,삼진,1,0,0,0,0.271,정의윤,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
3,좌비, , ,중안, ,2비, , ,좌비,4,1,0,0,0.246,이진영,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
4, ,포땅, ,2땅, , ,1땅, ,중안,4,1,0,0,0.371,이병규,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
5, ,우안, ,좌안, , ,삼진, ,유땅,4,2,0,0,0.311,정성훈,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
6, ,삼진, ,삼진, , ,유땅, , ,3,0,0,0,0.295,조인성,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
7, , , , , , , , , ,0,0,0,0,0.000,김태군,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
8, ,3땅, , ,우비, , ,2땅, ,3,0,0,0,0.255,서동욱,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
9, , ,4구, ,3비, , ,유안, ,2,1,0,0,0.271,김태완,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
10, , ,중비, ,유땅, , , , ,2,0,0,0,0.220,박경수,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
11, , , , , , , ,우비, ,1,0,0,0,0.262,윤요섭,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
12, , , , , , , , , ,0,0,0,0,0.145,윤진호,구장 : 잠실,"관중 : 22,511",2011.07.01(금),개시 : 18:30,경기시간 : 2:55,LG,두산,,,
0,삼진, ,32병, ,좌비, ,사구, ,삼진,4,0,0,1,0.281,전준우,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
1,좌안, , ,좌안,유땅, ,좌홈, ,우안,5,4,2,2,0.238,김주찬,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
2,3땅, , ,좌홈, ,삼진,중비, ,3파,5,1,2,1,0.313,손아섭,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
3,우비, , ,유비, ,유땅, ,사구, ,4,1,0,0,0.363,이대호,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성,좌안, ,
4, , , , , , , , , ,0,0,0,0,0.127,이승화,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
5, ,삼진, ,우비, ,우중2, ,좌안, ,5,2,0,0,0.325,강민호,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성,우파, ,
6, ,좌비, ,우안, ,4구, ,우비, ,4,1,0,0,0.289,홍성흔,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성,투유병, ,
7, ,2땅, ,삼진, ,유땅, ,삼진, ,5,0,0,0,0.237,조성환,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, ,삼진,
8, , ,투땅, , , , , , ,1,0,0,0,0.167,손용석,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
9, , , , ,4구, ,삼진,유땅, ,3,0,0,0,0.273,이인구,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, ,2땅,
10, , ,4구, ,삼진, , , , ,1,0,0,0,0.140,문규현,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
11, , , , , , ,중비, , ,1,0,0,0,0.289,박종윤,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, , ,
12, , , , , , , , ,삼진,2,0,0,0,0.208,양종민,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,롯데,삼성, ,유땅,
0,중안, ,유땅,우비, , ,투땅, ,우안,5,2,0,0,0.315,배영섭,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, ,3희번,
1,유병, ,4구, ,삼진, ,중안, ,좌안,4,2,0,1,0.276,박한이,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, ,고4,
2,2땅, ,삼진, ,포파, ,삼진, ,고4,4,0,1,0,0.297,박석민,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, ,4구,
3, ,우중2,4구, ,삼진, , ,2땅,2땅,4,1,0,2,0.303,최형우,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, , ,
4, ,4구,좌중안, , ,삼진, ,좌홈, ,4,2,2,1,0.267,모상기,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데,삼진, ,
5, ,삼진,우중안, , ,삼진, ,삼진, ,5,1,1,0,0.289,진갑용,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데,2비, ,
6, ,좌중안,우비, , ,2땅, ,1파, ,5,1,1,0,0.161,조동찬,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데,삼진, ,
7, ,삼진, ,1비, , , , , ,2,0,0,0,0.281,손주인,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, , ,
8, , , , , , ,4구, , ,0,0,0,0,0.146,채태인,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, , ,
9, , , , , , , , ,삼진,1,0,0,0,0.178,강명구,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, , ,
10, , , , , , , , , ,1,1,0,1,0.291,조영훈,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, ,우안,
11, ,2땅, ,좌중안, , ,투희번, ,투땅,3,1,0,0,0.288,김상수,구장 : 대구,"관중 : 9,300",2011.07.01(금),개시 : 18:30,경기시간 : 4:25,삼성,롯데, ,4구,
0,유땅, ,3희번, ,4구,우홈, ,투안,2땅,4,2,4,3,0.266,강동우,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
1,우비, ,삼진, ,좌희비,3땅, ,좌2, ,4,1,3,1,0.257,이여상,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
2,우2, ,사구, ,우중안,포비, ,우안, ,4,3,2,1,0.289,장성호,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
3,중안, ,좌안, ,삼진, ,2땅,우안, ,5,3,2,0,0.280,최진행,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
4,포파, ,4구, ,2안, ,2땅,3비, ,4,1,0,0,0.262,가르시아,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
5, ,우비,삼진, , , , , , ,2,0,0,0,0.265,정원석,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
6, , , , , ,중안, , , ,1,1,0,1,0.219,고동진,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
7, , , , , , ,유땅,우비, ,2,0,0,0,0.210,신경현,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
8, ,1파, ,3땅, , , , , ,2,0,0,0,0.194,박노민,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
9, , , , , ,좌안, ,삼진,2직,3,1,0,1,0.162,전현태,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
10, ,투땅, ,유땅, ,사구, ,좌안,중안,4,2,0,2,0.270,한상훈,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
11, , ,4구,3파, ,3파, ,중안,3땅,4,1,0,2,0.253,이대수,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,한화,KIA,,,
0,3땅,좌비, ,2땅,2땅, ,3희번, ,삼진,5,0,0,0,0.379,이용규,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,KIA,한화,,,
1,좌비, ,우안,삼진,2땅, ,우비, ,1땅,6,1,0,1,0.295,김선빈,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,KIA,한화,,,
2,우2, ,좌홈, ,4구,3땅,유땅, , ,4,2,2,2,0.324,이범호,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,KIA,한화,,,
3,4구, ,2땅, ,좌비,중안, ,포파, ,4,1,0,1,0.235,김상현,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,KIA,한화,,,
4,2땅, ,삼진, ,좌홈,우비, ,중안, ,5,2,2,1,0.413,나지완,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,KIA,한화,,,
5, ,중비,4구, ,우안,우2, ,1땅, ,4,2,1,1,0.263,차일목,구장 : 무등,"관중 : 12,500",2011.07.02(토),개시 : 17:01,경기시간 : 3:54,KIA,한화,,,
