,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,중비, ,삼진, ,좌비, , ,우비, ,4,0,0,0,0.277,정성훈,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
1,一땅, ,중안, ,우비, , ,二유병, ,4,1,0,0,0.310,정수성,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
2,삼진, ,좌비, , ,중안, , ,삼진,4,1,0,0,0.333,서튼,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
3, ,4구,좌비, , ,一파, , ,유땅,3,0,0,1,0.295,송지만,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
4, ,우중안, ,유땅, ,유二병, , ,중안,4,2,0,1,0.292,이숭용,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
5, ,4구, ,三직, , ,유땅, ,중비,3,0,0,0,0.370,강귀태,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
6, ,중희비, ,4구, , ,포번, , ,1,0,1,0,0.272,채종국,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
7, ,유땅, ,투땅, , ,유땅, , ,3,0,1,0,0.198,김동수,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
8, ,삼진, , ,좌비, , , , ,2,0,0,0,0.266,서한규,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
9, , , , , , , ,투안, ,1,1,0,0,0.252,전준호,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
10, , , , , , , , , ,0,0,0,0,0.100,장교성,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,현대,두산,,,
0,유비, ,투희번,二유병, , ,유땅, , ,3,0,0,0,0.192,전상렬,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
1,좌안, ,三실, ,투땅, ,삼진, , ,4,1,0,1,0.314,장원진,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
2,一땅, ,二비, ,삼진, ,좌안, , ,4,1,0,0,0.295,최경환,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
3,三땅, ,4구, ,三땅, , , , ,2,0,0,1,0.316,김동주,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
4, , , , , , ,二땅, , ,1,0,0,0,0.132,홍원기,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
5, ,좌안,4구, , ,삼진, ,유땅, ,3,1,1,1,0.309,안경현,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
6, ,삼진,우안, , ,4구, ,유땅, ,3,1,2,0,0.400,강봉규,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
7, ,중안,삼진, , ,삼진, ,중안, ,4,2,0,0,0.313,임재철,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
8, ,유병, ,유땅, ,4구, ,좌비, ,3,0,0,0,0.272,손시헌,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
9, , ,4구,4구, ,투땅, , , ,1,0,0,1,0.179,용덕한,구장 : 잠실,"관중 : 3,070",2005.06.01(수),개시 : 18:30,경기시간 : 2:30,두산,현대,,,
0,삼진, ,一땅, , ,포번, ,삼진,一땅,5,0,0,0,0.350,이병규,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
1,二비, , , , , , , , ,1,0,0,0,0.196,안상준,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
2, , , ,중비, ,우홈, ,중2, ,3,2,1,2,0.340,이종열,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
3,중비, , ,二비, ,좌홈, ,유비, ,4,1,1,1,0.267,박병호,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
4, ,좌비, ,우비, , , , , ,2,0,0,0,0.286,최동수,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
5, , , , , ,사구, ,중안, ,1,1,1,0,0.391,이성열,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
6, , , , , , , , , ,0,0,0,0,0.071,이대형,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
7, ,우비, , ,삼진,二땅, ,4구, ,3,0,0,0,0.283,클리어,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
8, ,유땅, , ,좌안,三땅, , , ,3,1,0,0,0.234,정의윤,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
9, , , , , , , ,투땅, ,1,0,0,0,0.317,박용택,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
10, , ,좌비, ,우비, ,二비, ,4구,3,0,0,0,0.231,안재만,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
11, , ,좌중안, ,4구, ,三땅, ,삼진,3,1,0,0,0.237,조인성,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
12, , ,삼진, ,二비, ,중비, ,삼진,4,0,0,0,0.260,한규식,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,LG,KIA,,,
0,삼진,좌비, , ,4구,중안, ,유실, ,4,1,0,1,0.320,장성호,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,KIA,LG,,,
1,二안, ,二땅, ,우안,포땅, ,二병, ,5,2,0,1,0.248,이용규,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,KIA,LG,,,
2,중안, ,중안, ,우중2,4구, , , ,3,3,2,1,0.320,홍세완,구장 : 무등,"관중 : 2,537",2005.06.02(목),개시 : 18:30,경기시간 : 3:04,KIA,LG,,,
